time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles,reward,action_J1,action_J2,action_J3
1500.0,18,8.255048999731915,50.0,341.27860152720643,7,-18.6,0,0,0
1505.0,24,22.52779307924523,20.0,309.616532035131,4,-13.200000000000001,1,0,0
1510.0,23,22.67169805835299,14.0,296.1442457930135,5,-14.879999999999999,1,1,0
1515.0,27,22.157461678865022,27.0,255.1198990811687,5,-15.94,1,0,0
1520.0,24,15.013244069488294,34.0,269.2505080493568,8,-21.48,0,1,0
1525.0,24,3.1768528799845126,65.0,270.19989337703487,19,-44.099999999999994,0,0,1
1530.0,23,11.336940460275065,42.0,319.3720158502378,7,-19.44,0,0,0
1535.0,19,20.762345151387755,24.0,287.22652889801043,5,-14.280000000000001,1,0,0
1540.0,24,24.12102472987215,16.0,249.71397224413047,2,-9.120000000000001,1,1,0
1545.0,22,21.807504825516734,5.0,201.79155919326215,5,-14.5,1,0,0
1550.0,22,5.264641478145853,28.0,186.42704890660835,7,-18.96,0,1,0
1555.0,22,14.181884814054351,61.0,244.03805620229588,9,-23.619999999999997,0,0,1
1560.0,16,6.404163522399267,45.0,262.0889044614955,6,-16.1,0,0,0
1565.0,23,21.174802559448835,15.0,260.9788478880056,4,-12.900000000000002,1,0,0
1570.0,23,23.397289209468966,17.0,287.842014167525,5,-14.940000000000001,1,1,0
1575.0,25,20.127538636270486,27.0,214.42042026364945,5,-15.54,1,0,0
1580.0,22,11.501060651048855,36.0,241.11702403220298,9,-23.119999999999997,0,1,0
1585.0,24,3.388930763251847,68.0,259.2191101397098,18,-42.16,0,0,1
1590.0,23,11.300914723482482,38.0,307.21844559028824,7,-19.36,0,0,0
1595.0,19,20.365260979814344,20.0,277.912610486861,5,-14.200000000000001,1,0,0
1600.0,25,23.147306809357225,17.0,272.9012215037851,3,-11.34,1,1,0
1605.0,23,20.583963592196447,11.0,220.47223401531335,9,-22.82,1,0,0
1610.0,24,6.236007082230845,37.0,227.939573224549,8,-21.54,0,1,0
1615.0,24,14.19891998809741,72.0,284.51918814611383,12,-30.240000000000002,0,0,1
1620.0,17,8.028651462505955,41.0,311.78247949754297,6,-16.22,0,0,0
1625.0,24,23.393247353281193,24.0,331.1157427318962,4,-13.280000000000001,1,0,0
1630.0,21,22.216667570100064,11.0,277.08461948656446,4,-12.420000000000002,1,1,0
1635.0,23,22.990692145953258,17.0,199.06112322393264,3,-10.940000000000001,1,0,0
1640.0,20,13.035174381067424,15.0,215.77747664969493,6,-16.3,0,1,0
1645.0,22,3.205447356805431,55.0,229.53992645833026,17,-39.5,0,0,1
1650.0,22,12.10819049289305,45.0,297.5616590311508,6,-17.3,0,0,0
1655.0,19,21.61037828466792,25.0,310.4697445275879,5,-14.3,1,0,0
1660.0,25,22.190396516027622,16.0,302.870817260423,2,-9.32,1,1,0
1665.0,23,20.4823351478806,9.0,252.57470638699877,7,-18.78,1,0,0
1670.0,23,5.546158849622848,37.0,238.46571769473795,10,-25.34,0,1,0
1675.0,23,12.959889587147497,78.0,305.97855810658376,12,-30.16,0,0,1
1680.0,17,7.048831956351533,49.0,329.6541738779113,7,-18.380000000000003,0,0,0
1685.0,24,21.702726071122076,21.0,319.0758581630035,4,-13.22,1,0,0
1690.0,24,20.712547558967668,19.0,316.63184636555224,6,-17.18,1,1,0
1695.0,26,20.2159470090315,34.0,241.4231147323554,6,-17.88,1,0,0
1700.0,23,12.136886946722683,43.0,268.3852942273008,8,-21.46,0,1,0
1705.0,26,5.18962806254406,64.0,315.51312122846645,18,-42.480000000000004,0,0,1
